district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
美濃區,村,廣興街,,,1,3,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,側撞,N
旗山區,村,旗南二路,,中寮一路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),禁止變換車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
旗山區,村,旗甲路,3,,1,0,晴,日間自然光線,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,穿越道路中,N
旗山區,,延平一路,,中華路,1,1,晴,日間自然光線,多岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,側撞,N
岡山區,村,嘉峰路,,,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,Y
鳳山區,村,經武路,,力行路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
美濃區,村,中正路,2,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,撞路樹、電桿,N
林園區,村,中芸三路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,撞路樹、電桿,Y
林園區,村,潭頭路,,,1,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,撞號誌、標誌桿,Y
阿蓮區,玉庫里,無名路,,,1,1,晴,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無,車道線(無標記),未繪設快慢車道分隔線,有,撞路樹、電桿,N
大社區,村,中山路,,金龍路,1,0,雨,日間自然光線,四岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,穿越道路中,Y
