district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
橋頭區,村,仕豐路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,撞路樹、電桿,Y
甲仙區,村,台29省道,,,1,1,晴,日間自然光線,橋樑,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,未繪設車道線,快慢車道分隔線,有,路上翻車、摔倒,N
岡山區,村,岡山北路,,,1,1,雨,日間自然光線,直路,其他,濕潤,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(附標記),快慢車道分隔線,有,追撞,Y
大寮區,村,鳳林三路,,萬丹路,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,鳳林一路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,路上翻車、摔倒,Y
林園區,村,沿海路,4,沿海路,1,0,晴,日間自然光線,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,同向擦撞,Y
湖內區,村,中華街,,中華街,1,1,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,同向擦撞,Y
杉林區,村,杉美路,,桐竹路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,行車管制號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,撞路樹、電桿,N
仁武區,村,仁林路,,南興巷,2,0,晴,日間自然光線,直路,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,行車管制號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,同向擦撞,Y
岡山區,村,聖森路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,其他,Y
橋頭區,村,鹽南路,,鹽南路建昌巷,1,1,晴,夜間(或隧道、地下道、涵洞) 有照明,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,有,路口交岔撞,Y
橋頭區,村,甲典街,,通典路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
三民區,村,大順二路,,鼎山街,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,道路工事(程)中,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
大寮區,村,鳳林四路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,快車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),禁止變換車道線(無標記),未繪設快慢車道分隔線,有,穿越道路中,Y
路竹區,村,復興路,,,1,0,陰,日間自然光線,直路,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,側撞,Y
鳥松區,村,松藝路,,,1,0,晴,日間自然光線,彎曲路及附近,慢車道,乾燥,無缺陷,無障礙物,無號誌,無標記,未繪設車道線,快慢車道分隔線,無,撞護欄(樁),Y
